time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_pass,val_average_precision_drive,val_binary_accuracy,val_binary_accuracy_pass,val_binary_accuracy_drive
2023-05-14 00:16:20.032833,0,0.0005,0.1012418436259032,0.09224716425624853,0.8521187427922756,0.8981756308102591,0.806061854774292,0.8241212429954152,0.8532857870606215,0.7949566989302088
2023-05-14 00:26:15.026322,1,0.001,0.04821765084036931,0.05733050576073565,0.8886538533967793,0.9130560614506724,0.8642516453428861,0.9034640855832909,0.8970962812022415,0.9098318899643403
time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_pass,val_average_precision_drive,val_binary_accuracy,val_binary_accuracy_pass,val_binary_accuracy_drive
2023-05-14 00:39:40.291772,0,0.00095296,0.04203190716821708,0.05648241600729695,0.8917394515639656,0.910857921742748,0.8726209813851833,0.9067753438614365,0.8981151299032094,0.9154355578196638
2023-05-14 00:49:34.969038,1,0.00082116,0.039147782591093944,0.05923323019837074,0.8935553046087499,0.9122991430067645,0.8748114662107351,0.9058838512480897,0.8978604177279674,0.9139072847682119
2023-05-14 00:59:29.011924,2,0.0006307,0.04122749883724233,0.05829448549200445,0.8953262264548454,0.9142615170873215,0.8763909358223694,0.9067753438614365,0.9001528273051452,0.913397860417728
2023-05-14 01:09:23.850113,3,0.0004193,0.03944960327353335,0.05773545775588366,0.8966104258257929,0.9168057282995103,0.8764151233520754,0.9071574121242996,0.9011716760061131,0.913143148242486
2023-05-14 01:19:19.534148,4,0.00022884,0.03927019865702215,0.05759649814914795,0.8973075684047169,0.9180176260228563,0.8765975107865775,0.9076668364747835,0.9016811003565971,0.91365257259297
2023-05-14 01:29:14.457480,5,9.704e-05,0.03904306712180067,0.0576201381291383,0.8973848616156609,0.9178845569149998,0.876885166316322,0.9067753438614365,0.9006622516556292,0.912888436067244
2023-05-14 01:39:09.082911,6,5e-05,0.03931432590292147,0.05787211747266509,0.8976018981403474,0.917874051556699,0.8773297447239958,0.9071574121242996,0.9004075394803872,0.9139072847682119
