time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_pass,val_average_precision_drive,val_binary_accuracy,val_binary_accuracy_pass,val_binary_accuracy_drive
2023-05-15 21:55:07.402896,0,0.0005,0.10072930161779144,0.09412995879646649,0.8403778302724354,0.9163829047863761,0.7643727557584946,0.8116279069767443,0.8284883720930233,0.7947674418604651
2023-05-15 22:04:40.832564,1,0.001,0.04848512456674749,0.057761726363800316,0.8766658693929168,0.9210457144003201,0.8322860243855134,0.9029069767441861,0.9026162790697675,0.9031976744186047
time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_pass,val_average_precision_drive,val_binary_accuracy,val_binary_accuracy_pass,val_binary_accuracy_drive
2023-05-15 22:17:23.160442,0,0.00095296,0.041754638570360846,0.05499554272080491,0.8819636468678982,0.921890306210927,0.8420369875248694,0.9071220930232557,0.9049418604651163,0.9093023255813953
2023-05-15 22:26:56.229625,1,0.00082116,0.042148244778703325,0.05536421441871049,0.8851014259558315,0.9241481825736212,0.8460546693380419,0.9090116279069768,0.9058139534883721,0.9122093023255814
2023-05-15 22:36:30.229986,2,0.0006307,0.0381193675329365,0.055986408119328084,0.8862733449120415,0.9237924869183628,0.8487542029057202,0.9071220930232557,0.9046511627906977,0.9095930232558139
2023-05-15 22:46:04.588314,3,0.0004193,0.03953900769333509,0.05599491885358329,0.887832787485937,0.9244265736939637,0.8512390012779102,0.9088662790697675,0.9052325581395348,0.9125
2023-05-15 22:55:39.753960,4,0.00022884,0.04019611464382623,0.05592593588442601,0.8878218400946596,0.9245139291687426,0.8511297510205764,0.9088662790697675,0.9052325581395348,0.9125
2023-05-15 23:05:13.718919,5,9.704e-05,0.03940051231525527,0.05614903044689253,0.8874864014796351,0.9243481161841244,0.8506246867751459,0.9081395348837209,0.9040697674418605,0.9122093023255814
2023-05-15 23:14:47.565416,6,5e-05,0.0406416669002502,0.05611860573218684,0.8872168363069399,0.9239005366128337,0.8505331360010462,0.9087209302325582,0.9055232558139535,0.9119186046511628
