time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_pass,val_average_precision_drive,val_binary_accuracy,val_binary_accuracy_pass,val_binary_accuracy_drive
2023-05-15 18:56:33.121181,0,0.0005,0.10014400015150528,0.09137373657568408,0.8472075500923322,0.9066432821986827,0.7877718179859815,0.812982714233174,0.8216255976461935,0.8043398308201545
2023-05-15 19:05:33.029605,1,0.001,0.04841001102483524,0.059217986100188996,0.8654265234375875,0.912828288043768,0.8180247588314069,0.8892975358587716,0.8856197131298271,0.892975358587716
time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_pass,val_average_precision_drive,val_binary_accuracy,val_binary_accuracy_pass,val_binary_accuracy_drive
2023-05-15 19:17:09.609604,0,0.00095296,0.04077707865434543,0.058392549785169105,0.8684419784930917,0.9119597787806889,0.8249241782054946,0.8948142699521883,0.8870908422214049,0.9025376976829717
2023-05-15 19:26:10.523821,1,0.00082116,0.04157845428741223,0.06093115652483367,0.8658909174610079,0.9085870803756784,0.8231947545463375,0.8942625965428467,0.8867230599485105,0.9018021331371828
2023-05-15 19:35:11.122092,2,0.0006307,0.04216057983258126,0.06171343643149803,0.8667785165035404,0.9076651082146977,0.825891924792383,0.894630378815741,0.8874586244942994,0.9018021331371828
2023-05-15 19:44:12.996928,3,0.0004193,0.03982627497318516,0.06280103416236889,0.8665837966429258,0.9052782361569971,0.8278893571288546,0.893710923133505,0.8837808017653549,0.903641044501655
2023-05-15 19:53:13.644153,4,0.00022884,0.040762770927705166,0.06315353327355458,0.8653917977030823,0.9062532324294069,0.8245303629767577,0.894630378815741,0.8867230599485105,0.9025376976829717
2023-05-15 20:02:14.761616,5,9.704e-05,0.04040605246888786,0.06365086266930177,0.8626366152894267,0.9055351783100627,0.8197380522687906,0.8938948142699521,0.8874586244942994,0.900331004045605
2023-05-15 20:11:16.212615,6,5e-05,0.04028753672338397,0.06377593765321171,0.8623388833939157,0.9055023678291726,0.8191753989586589,0.8931592497241634,0.8863552776756161,0.8999632217727106
